,_id,_score,cluster,entrezgene,name,notfound,symbol,taxid
EXOC7,100623170,54.91722,9,100623170,exocyst complex component 7,,EXOC7,9823.0
EXOSC1,100153550,56.60622,9,100153550,exosome component 1,,EXOSC1,9823.0
EXOSC10,100511264,54.666668,9,100511264,exosome component 10,,EXOSC10,9823.0
F12,397474,58.08052,9,397474,coagulation factor XII,,F12,9823.0
F2RL2,100519355,55.5154,9,100519355,coagulation factor II thrombin receptor like 2,,F2RL2,9823.0
FA2H,100523966,56.84181,9,100523966,fatty acid 2-hydroxylase,,FA2H,9823.0
FAAP100,100625661,57.404057,9,100625661,FA core complex associated protein 100,,FAAP100,9823.0
FABP4,399533,62.739033,9,399533,"fatty acid binding protein 4, adipocyte",,FABP4,9823.0
FADD,595129,57.09932,9,595129,Fas associated via death domain,,FADD,9823.0
FADS2,444997,57.36069,9,444997,fatty acid desaturase 2,,FADS2,9823.0
FAM117B,100512564,56.251442,9,100512564,family with sequence similarity 117 member B,,FAM117B,9823.0
FAM120C,100517625,57.455784,9,100517625,family with sequence similarity 120C,,FAM120C,9823.0
FAM160B2,100155695,56.36423,9,100155695,family with sequence similarity 160 member B2,,FAM160B2,9823.0
FAM171A2,100514069,56.262836,9,100514069,family with sequence similarity 171 member A2,,FAM171A2,9823.0
FAM180A,100737678,55.67121,9,100737678,family with sequence similarity 180 member A,,FAM180A,9823.0
FAM193A,100517173,55.943085,9,100517173,family with sequence similarity 193 member A,,FAM193A,9823.0
FAM199X,100510996,56.370872,9,100510996,"family with sequence similarity 199, X-linked",,FAM199X,9823.0
FAM20B,100523629,54.909035,9,100523629,FAM20B glycosaminoglycan xylosylkinase,,FAM20B,9823.0
FAM210B,100134989,56.38239,9,100134989,family with sequence similarity 210 member B,,FAM210B,9823.0
FAM219B,100155770,56.97287,9,100155770,family with sequence similarity 219 member B,,FAM219B,9823.0
FAM222A,100153422,56.78104,9,100153422,family with sequence similarity 222 member A,,FAM222A,9823.0
FAM234A,100738032,55.23755,9,100738032,family with sequence similarity 234 member A,,FAM234A,9823.0
FAM43B,100624917,57.388767,9,100624917,family with sequence similarity 43 member B,,FAM43B,9823.0
FAM53A,110262041,59.716915,9,110262041,family with sequence similarity 53 member A,,FAM53A,9823.0
FAM53C,100515714,56.24628,9,100515714,family with sequence similarity 53 member C,,FAM53C,9823.0
FAM71E1,100511996,59.183266,9,100511996,family with sequence similarity 71 member E1,,FAM71E1,9823.0
FAM83D,102164658,56.269947,9,102164658,family with sequence similarity 83 member D,,FAM83D,9823.0
FAM89A,100156669,57.134796,9,100156669,family with sequence similarity 89 member A,,FAM89A,9823.0
FAN1,100525727,55.931503,9,100525727,FANCD2 and FANCI associated nuclease 1,,FAN1,9823.0
FANCA,100621453,55.38608,9,100621453,FA complementation group A,,FANCA,9823.0
FANCB,100156438,57.494015,9,100156438,FA complementation group B,,FANCB,9823.0
FANCD2,100522343,54.147743,9,100522343,FA complementation group D2,,FANCD2,9823.0
FARP2,100511480,54.700108,9,100511480,"FERM, ARH/RhoGEF and pleckstrin domain protein 2",,FARP2,9823.0
FASN,397561,54.527428,9,397561,fatty acid synthase,,FASN,9823.0
FASTK,100233181,55.05159,9,100233181,Fas activated serine/threonine kinase,,FASTK,9823.0
FASTKD1,100520591,57.087814,9,100520591,FAST kinase domains 1,,FASTKD1,9823.0
FASTKD3,100516766,56.771492,9,100516766,FAST kinase domains 3,,FASTKD3,9823.0
FAXDC2,100525263,56.70801,9,100525263,fatty acid hydroxylase domain containing 2,,FAXDC2,9823.0
FBH1,102162755,55.24363,9,102162755,F-box DNA helicase 1,,FBH1,9823.0
FBL,100626002,56.871597,9,100626002,fibrillarin,,FBL,9823.0
FBXL18,100515369,56.038513,9,100515369,F-box and leucine rich repeat protein 18,,FBXL18,9823.0
FBXL7,100521047,56.4833,9,100521047,F-box and leucine rich repeat protein 7,,FBXL7,9823.0
FBXO10,100624516,56.322304,9,100624516,F-box protein 10,,FBXO10,9823.0
FBXO17,100519028,61.755898,9,100519028,F-box protein 17,,FBXO17,9823.0
FBXO25,100620396,54.387585,9,100620396,F-box protein 25,,FBXO25,9823.0
FBXO31,100512607,55.413445,9,100512607,F-box protein 31,,FBXO31,9823.0
FBXO38,100513273,55.27153,9,100513273,F-box protein 38,,FBXO38,9823.0
FBXW9,100519242,55.576576,9,100519242,F-box and WD repeat domain containing 9,,FBXW9,9823.0
FCGRT,397399,60.818905,9,397399,Fc fragment of IgG receptor and transporter,,FCGRT,9823.0
FCHO1,100518178,58.463654,9,100518178,FCH and mu domain containing endocytic adaptor 1,,FCHO1,9823.0
FCHSD1,100511554,58.209797,9,100511554,FCH and double SH3 domains 1,,FCHSD1,9823.0
FCSK,100625448,56.141914,9,100625448,fucose kinase,,FCSK,9823.0
FDFT1,100312971,56.523834,9,100312971,farnesyl-diphosphate farnesyltransferase 1,,FDFT1,9823.0
FDXR,100512919,55.815998,9,100512919,ferredoxin reductase,,FDXR,9823.0
FEM1A,100625091,58.420547,9,100625091,fem-1 homolog A,,FEM1A,9823.0
FEZF2,100518806,57.270336,9,100518806,FEZ family zinc finger 2,,FEZF2,9823.0
FGB,100514354,55.13388,9,100514354,fibrinogen beta chain,,FGB,9823.0
FGF12,100152498,55.725685,9,100152498,fibroblast growth factor 12,,FGF12,9823.0
FGF19,100518950,57.031197,9,100518950,fibroblast growth factor 19,,FGF19,9823.0
FGF22,110259378,56.725273,9,110259378,fibroblast growth factor 22,,FGF22,9823.0
FGFR1,100153248,57.618904,9,100153248,fibroblast growth factor receptor 1,,FGFR1,9823.0
FGFR1OP,100153548,56.111053,9,100153548,FGFR1 oncogene partner,,FGFR1OP,9823.0
FGFR4,100127133,57.16092,9,100127133,fibroblast growth factor receptor 4,,FGFR4,9823.0
FGL1,100516651,56.77401,9,100516651,fibrinogen like 1,,FGL1,9823.0
FHDC1,100627497,54.524876,9,100627497,FH2 domain containing 1,,FHDC1,9823.0
FICD,100621588,56.144203,9,100621588,FIC domain containing,,FICD,9823.0
FIG4,100511669,54.95544,9,100511669,FIG4 phosphoinositide 5-phosphatase,,FIG4,9823.0
FIS1,100622909,55.21338,9,100622909,"fission, mitochondrial 1",,FIS1,9823.0
FLII,110256127,51.44599,9,110256127,FLII actin remodeling protein,,FLII,9823.0
FLOT2,100518752,55.538097,9,100518752,flotillin 2,,FLOT2,9823.0
FLYWCH2,100627929,60.34023,9,100627929,FLYWCH family member 2,,FLYWCH2,9823.0
FMNL1,100520585,58.028816,9,100520585,formin like 1,,FMNL1,9823.0
FMO4,100621718,57.568913,9,100621718,flavin containing dimethylaniline monoxygenase 4,,FMO4,9823.0
FN3KRP,100523691,58.909573,9,100523691,fructosamine 3 kinase related protein,,FN3KRP,9823.0
FOLH1B,397677,59.543762,9,397677,folate hydrolase 1B,,FOLH1B,9823.0
FOXD2,110261233,59.537735,9,110261233,forkhead box D2,,FOXD2,9823.0
FOXK2,100522272,56.36966,9,100522272,forkhead box K2,,FOXK2,9823.0
FOXM1,100511565,54.431427,9,100511565,forkhead box M1,,FOXM1,9823.0
FOXO6,110261252,60.640244,9,110261252,forkhead box O6,,FOXO6,9823.0
FRMD3,100519727,56.25643,9,100519727,FERM domain containing 3,,FRMD3,9823.0
FRMD5,100152168,55.413445,9,100152168,FERM domain containing 5,,FRMD5,9823.0
FRMD8,100518413,57.08213,9,100518413,FERM domain containing 8,,FRMD8,9823.0
FRS3,100153876,55.670208,9,100153876,fibroblast growth factor receptor substrate 3,,FRS3,9823.0
FSCN2,100625228,56.417458,9,100625228,"fascin actin-bundling protein 2, retinal",,FSCN2,9823.0
FSD1,100523485,55.005424,9,100523485,fibronectin type III and SPRY domain containing 1,,FSD1,9823.0
FTSJ1,100431100,57.78727,9,100431100,FtsJ RNA 2'-O-methyltransferase 1,,FTSJ1,9823.0
FTSJ3,100512190,55.448616,9,100512190,FtsJ RNA 2'-O-methyltransferase 3,,FTSJ3,9823.0
FUBP3,100524188,55.549377,9,100524188,far upstream element binding protein 3,,FUBP3,9823.0
FUZ,100520080,57.576797,9,100520080,fuzzy planar cell polarity protein,,FUZ,9823.0
FYCO1,100151740,55.44509,9,100151740,FYVE and coiled-coil domain autophagy adaptor 1,,FYCO1,9823.0
FZR1,497234,57.78477,9,497234,fizzy and cell division cycle 20 related 1,,FZR1,9823.0
GAL3ST4,100511123,59.311184,9,100511123,galactose-3-O-sulfotransferase 4,,GAL3ST4,9823.0
GALC,100156917,57.229195,9,100156917,galactosylceramidase,,GALC,9823.0
GALK1,100521514,55.66742,9,100521514,galactokinase 1,,GALK1,9823.0
GALNS,397000,53.681534,9,397000,galactosamine (N-acetyl)-6-sulfatase,,GALNS,9823.0
GALNT16,100513992,56.69739,9,100513992,polypeptide N-acetylgalactosaminyltransferase 16,,GALNT16,9823.0
GAMT,100625146,56.46055,9,100625146,guanidinoacetate N-methyltransferase,,GAMT,9823.0
GAN,100518489,55.17079,9,100518489,gigaxonin,,GAN,9823.0
GAS6,100519331,54.024677,9,100519331,growth arrest specific 6,,GAS6,9823.0
GAS7,100518690,56.033546,9,100518690,growth arrest specific 7,,GAS7,9823.0
GAS8,100522374,54.76651,9,100522374,growth arrest specific 8,,GAS8,9823.0
GATA3,733631,54.959164,9,733631,GATA binding protein 3,,GATA3,9823.0
GATD1,100511802,56.70801,9,100511802,glutamine amidotransferase like class 1 domain containing 1,,GATD1,9823.0
GBGT1,110256486,58.029366,9,110256486,"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)",,GBGT1,9823.0
GCDH,100522477,56.257553,9,100522477,glutaryl-CoA dehydrogenase,,GCDH,9823.0
GCH1,102168145,55.52364,9,102168145,GTP cyclohydrolase 1,,GCH1,9823.0
GCHFR,100153745,55.55698,9,100153745,GTP cyclohydrolase I feedback regulator,,GCHFR,9823.0
GCN1,100156624,54.779568,9,100156624,GCN1 activator of EIF2AK4,,GCN1,9823.0
GEMIN8,100513635,55.35144,9,100513635,gem nuclear organelle associated protein 8,,GEMIN8,9823.0
GET1,100625465,57.17359,9,100625465,guided entry of tail-anchored proteins factor 1,,GET1,9823.0
GET3,100520362,56.798214,9,100520362,"guided entry of tail-anchored proteins factor 3, ATPase",,GET3,9823.0
GFOD1,100739137,58.428032,9,100739137,glucose-fructose oxidoreductase domain containing 1,,GFOD1,9823.0
GFOD2,100623376,56.03245,9,100623376,glucose-fructose oxidoreductase domain containing 2,,GFOD2,9823.0
GGA3,100525777,55.849346,9,100525777,"golgi associated, gamma adaptin ear containing, ARF binding protein 3",,GGA3,9823.0
GID4,110256134,55.32672,9,110256134,GID complex subunit 4 homolog,,GID4,9823.0
GIGYF1,100620395,56.36711,9,100620395,GRB10 interacting GYF protein 1,,GIGYF1,9823.0
GINS2,100512784,54.153496,9,100512784,GINS complex subunit 2,,GINS2,9823.0
GINS4,100738105,56.251442,9,100738105,GINS complex subunit 4,,GINS4,9823.0
GJB3,110261137,57.162785,9,110261137,gap junction protein beta 3,,GJB3,9823.0
GLA,100415928,55.133095,9,100415928,galactosidase alpha,,GLA,9823.0
GLE1,100519463,54.694855,9,100519463,GLE1 RNA export mediator,,GLE1,9823.0
GLIS2,100624334,57.447628,9,100624334,GLIS family zinc finger 2,,GLIS2,9823.0
GLMN,100153954,56.009373,9,100153954,"glomulin, FKBP associated protein",,GLMN,9823.0
GLMP,100153484,56.55661,9,100153484,glycosylated lysosomal membrane protein,,GLMP,9823.0
GLS2,100738224,59.77953,9,100738224,glutaminase 2,,GLS2,9823.0
GLTP,396765,55.93386,9,396765,glycolipid transfer protein,,GLTP,9823.0
GM2A,100515283,55.183174,9,100515283,GM2 ganglioside activator,,GM2A,9823.0
GMIP,100517882,57.41713,9,100517882,GEM interacting protein,,GMIP,9823.0
GNA12,100525156,56.865116,9,100525156,G protein subunit alpha 12,,GNA12,9823.0
GNAZ,100151867,55.389095,9,100151867,G protein subunit alpha z,,GNAZ,9823.0
GNB1L,100153889,56.21426,9,100153889,G protein subunit beta 1 like,,GNB1L,9823.0
GNE,641344,57.723534,9,641344,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,,GNE,9823.0
GNL2,100623150,54.64189,9,100623150,G protein nucleolar 2,,GNL2,9823.0
GNPAT,100156253,56.803783,9,100156253,glyceronephosphate O-acyltransferase,,GNPAT,9823.0
GNPDA1,100512094,56.812958,9,100512094,glucosamine-6-phosphate deaminase 1,,GNPDA1,9823.0
GOLGA3,100155657,56.251442,9,100155657,golgin A3,,GOLGA3,9823.0
GORASP1,100518933,56.36966,9,100518933,golgi reassembly stacking protein 1,,GORASP1,9823.0
GOT1,396967,54.52089,9,396967,glutamic-oxaloacetic transaminase 1,,GOT1,9823.0
GPAA1,100525695,58.77157,9,100525695,glycosylphosphatidylinositol anchor attachment 1,,GPAA1,9823.0
GPAT4,100152836,55.491226,9,100152836,glycerol-3-phosphate acyltransferase 4,,GPAT4,9823.0
GPATCH1,100525924,54.112835,9,100525924,G-patch domain containing 1,,GPATCH1,9823.0
GPATCH3,100525877,55.021595,9,100525877,G-patch domain containing 3,,GPATCH3,9823.0
GPC2,100511316,55.872253,9,100511316,glypican 2,,GPC2,9823.0
GPC5,100737621,54.80786,9,100737621,glypican 5,,GPC5,9823.0
GPER1,100521003,56.936222,9,100521003,G protein-coupled estrogen receptor 1,,GPER1,9823.0
GPM6A,100738686,55.353996,9,100738686,glycoprotein M6A,,GPM6A,9823.0
GPR137B,100154578,56.798214,9,100154578,G protein-coupled receptor 137B,,GPR137B,9823.0
GPR3,100512611,58.60393,9,100512611,G protein-coupled receptor 3,,GPR3,9823.0
GPRASP1,100523039,62.88866,9,100523039,G protein-coupled receptor associated sorting protein 1,,GPRASP1,9823.0
GPRC5B,100623340,56.397423,9,100623340,G protein-coupled receptor class C group 5 member B,,GPRC5B,9823.0
GPRL15,100511838,66.92193,9,100511838,chromosome 14 C10orf99 homolog,,GPRL15,9823.0
GPT,100524618,56.946655,9,100524618,glutamic--pyruvic transaminase,,GPT,9823.0
GPT2,100521318,58.19399,9,100521318,glutamic--pyruvic transaminase 2,,GPT2,9823.0
GPX3,396598,56.62781,9,396598,glutathione peroxidase 3,,GPX3,9823.0
GRB10,100188977,56.492546,9,100188977,growth factor receptor bound protein 10,,GRB10,9823.0
GREB1L,100524319,55.59639,9,100524319,GREB1 like retinoic acid receptor coactivator,,GREB1L,9823.0
GRINA,110260415,56.248405,9,110260415,glutamate ionotropic receptor NMDA type subunit associated protein 1,,GRINA,9823.0
GRIPAP1,100621697,55.03637,9,100621697,GRIP1 associated protein 1,,GRIPAP1,9823.0
GRK4,100519668,55.547157,9,100519668,G protein-coupled receptor kinase 4,,GRK4,9823.0
GRN,733645,57.233654,9,733645,granulin precursor,,GRN,9823.0
GRWD1,100521273,55.41311,9,100521273,glutamate rich WD repeat containing 1,,GRWD1,9823.0
GTF2B,100155974,55.146706,9,100155974,general transcription factor IIB,,GTF2B,9823.0
GTF2F1,100516955,56.253933,9,100516955,general transcription factor IIF subunit 1,,GTF2F1,9823.0
GTF3C1,100519247,55.3637,9,100519247,general transcription factor IIIC subunit 1,,GTF3C1,9823.0
GTF3C4,100157514,55.44259,9,100157514,general transcription factor IIIC subunit 4,,GTF3C4,9823.0
GTPBP4,100625226,56.536972,9,100625226,GTP binding protein 4,,GTPBP4,9823.0
GTPBP8,100515759,55.873444,9,100515759,GTP binding protein 8 (putative),,GTPBP8,9823.0
GUK1,100513720,56.454796,9,100513720,guanylate kinase 1,,GUK1,9823.0
H2AFY,100512769,62.666645,9,100512769,"H2A histone family, member Y",,H2AFY,9823.0
H6PD,110261091,55.111423,9,110261091,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,,H6PD,9823.0
HAAO,100514283,55.357315,9,100514283,"3-hydroxyanthranilate 3,4-dioxygenase",,HAAO,9823.0
HAPLN3,100157078,55.012466,9,100157078,hyaluronan and proteoglycan link protein 3,,HAPLN3,9823.0
HAUS1,100152640,54.77144,9,100152640,HAUS augmin like complex subunit 1,,HAUS1,9823.0
HAUS7,100518818,56.48953,9,100518818,HAUS augmin like complex subunit 7,,HAUS7,9823.0
HCRT,397305,56.492886,9,397305,hypocretin neuropeptide precursor,,HCRT,9823.0
HDAC3,100511372,54.35615,9,100511372,histone deacetylase 3,,HDAC3,9823.0
HDAC5,100515165,58.259815,9,100515165,histone deacetylase 5,,HDAC5,9823.0
HDGFL2,100526035,57.244514,9,100526035,HDGF like 2,,HDGFL2,9823.0
HDHD2,100521177,55.566765,9,100521177,haloacid dehalogenase like hydrolase domain containing 2,,HDHD2,9823.0
HDHD3,106508518,56.346394,9,106508518,haloacid dehalogenase like hydrolase domain containing 3,,HDHD3,9823.0
HDHD5,102160309,56.085365,9,102160309,haloacid dehalogenase like hydrolase domain containing 5,,HDHD5,9823.0
HEATR6,100624283,56.62699,9,100624283,HEAT repeat containing 6,,HEATR6,9823.0
HEMK1,100518515,55.55698,9,100518515,HemK methyltransferase family member 1,,HEMK1,9823.0
HERC2,100737018,56.107033,9,100737018,HECT and RLD domain containing E3 ubiquitin protein ligase 2,,HERC2,9823.0
HES4,100739264,61.2571,9,100739264,hes family bHLH transcription factor 4,,HES4,9823.0
HFM1,100156806,55.32768,9,100156806,helicase for meiosis 1,,HFM1,9823.0
HGH1,100511128,56.26234,9,100511128,HGH1 homolog,,HGH1,9823.0
HHAT,100512733,56.37049,9,100512733,hedgehog acyltransferase,,HHAT,9823.0
HIPK4,100625431,57.723587,9,100625431,homeodomain interacting protein kinase 4,,HIPK4,9823.0
HJURP,100154630,58.45732,9,100154630,Holliday junction recognition protein,,HJURP,9823.0
HK2,494561,58.575584,9,494561,hexokinase 2,,HK2,9823.0
HMGN2,100524500,58.52627,9,100524500,high mobility group nucleosomal binding domain 2,,HMGN2,9823.0
HOGA1,100153961,55.183502,9,100153961,4-hydroxy-2-oxoglutarate aldolase 1,,HOGA1,9823.0
HOXC10,100628125,56.745667,9,100628125,homeobox C10,,HOXC10,9823.0
HOXC13,100518969,58.53497,9,100518969,homeobox C13,,HOXC13,9823.0
HOXC5,100152707,57.355118,9,100152707,homeobox C5,,HOXC5,9823.0
HOXC9,106510295,55.909904,9,106510295,homeobox C9,,HOXC9,9823.0
HPCAL1,100144506,57.127193,9,100144506,hippocalcin like 1,,HPCAL1,9823.0
HPCAL4,100144585,55.927624,9,100144585,hippocalcin like 4,,HPCAL4,9823.0
HPS1,100049672,56.17807,9,100049672,HPS1 biogenesis of lysosomal organelles complex 3 subunit 1,,HPS1,9823.0
HRAS,110259208,57.55558,9,110259208,"HRas proto-oncogene, GTPase",,HRAS,9823.0
HS3ST3B1,100737777,61.33694,9,100737777,heparan sulfate-glucosamine 3-sulfotransferase 3B1,,HS3ST3B1,9823.0
HS3ST6,110259947,57.759995,9,110259947,heparan sulfate-glucosamine 3-sulfotransferase 6,,HS3ST6,9823.0
HSBP1L1,100192206,58.545765,9,100192206,heat shock factor binding protein 1 like 1,,HSBP1L1,9823.0
HSD17B1,100147712,55.5154,9,100147712,hydroxysteroid 17-beta dehydrogenase 1,,HSD17B1,9823.0
HSPBP1,100518376,57.749023,9,100518376,HSPA (Hsp70) binding protein 1,,HSPBP1,9823.0
HTATSF1,100622043,55.10887,9,100622043,HIV-1 Tat specific factor 1,,HTATSF1,9823.0
HTR1E,102160737,57.94754,9,102160737,5-hydroxytryptamine receptor 1E,,HTR1E,9823.0
HTT,397014,56.53534,9,397014,huntingtin,,HTT,9823.0
HUNK,100627454,55.54319,9,100627454,hormonally up-regulated Neu-associated kinase,,HUNK,9823.0
HUS1,100192318,55.81771,9,100192318,HUS1 checkpoint clamp component,,HUS1,9823.0
HUWE1,100517442,56.049797,9,100517442,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",,HUWE1,9823.0
HYI,100517478,54.224277,9,100517478,hydroxypyruvate isomerase (putative),,HYI,9823.0
HYOU1,100516870,55.170475,9,100516870,hypoxia up-regulated 1,,HYOU1,9823.0
IAH1,100622648,55.27822,9,100622648,isoamyl acetate hydrolyzing esterase 1 (putative),,IAH1,9823.0
ICAM1,396750,59.51029,9,396750,intercellular adhesion molecule 1,,ICAM1,9823.0
IDH3B,733641,53.158394,9,733641,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta,,IDH3B,9823.0
IDNK,100622692,55.832294,9,100622692,IDNK gluconokinase,,IDNK,9823.0
IDUA,110262029,53.179733,9,110262029,alpha-L-iduronidase,,IDUA,9823.0
IFITM3,100518544,70.369316,9,100518544,interferon induced transmembrane protein 3,,IFITM3,9823.0
IFNAR1,396658,57.95813,9,396658,interferon alpha and beta receptor subunit 1,,IFNAR1,9823.0
IFRD2,100155668,56.258694,9,100155668,interferon related developmental regulator 2,,IFRD2,9823.0
IFT172,100625100,55.57472,9,100625100,intraflagellar transport 172,,IFT172,9823.0
IFT22,100519188,55.011482,9,100519188,intraflagellar transport 22,,IFT22,9823.0
IFT27,100517032,53.99862,9,100517032,intraflagellar transport 27,,IFT27,9823.0
IFT88,100519103,55.643135,9,100519103,intraflagellar transport 88,,IFT88,9823.0
IGSF11,100511781,54.949146,9,100511781,immunoglobulin superfamily member 11,,IGSF11,9823.0
IK,100738153,55.63709,9,100738153,IK cytokine,,IK,9823.0
IKBKB,100101471,55.45456,9,100101471,inhibitor of nuclear factor kappa B kinase subunit beta,,IKBKB,9823.0
IKBKE,100519508,55.116405,9,100519508,inhibitor of nuclear factor kappa B kinase subunit epsilon,,IKBKE,9823.0
IKBKG,100127355,57.031197,9,100127355,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma,,IKBKG,9823.0
IL10RA,100525654,58.37984,9,100525654,interleukin 10 receptor subunit alpha,,IL10RA,9823.0
IL10RB,396657,55.455967,9,396657,interleukin 10 receptor subunit beta,,IL10RB,9823.0
IL21R,100518723,57.426945,9,100518723,interleukin 21 receptor,,IL21R,9823.0
IL22RA1,100623299,56.017414,9,100623299,interleukin 22 receptor subunit alpha 1,,IL22RA1,9823.0
IL23R,733613,57.4945,9,733613,interleukin 23 receptor,,IL23R,9823.0
IL27RA,100511742,58.782238,9,100511742,interleukin 27 receptor subunit alpha,,IL27RA,9823.0
IL4I1,100522257,56.57834,9,100522257,interleukin 4 induced 1,,IL4I1,9823.0
IL6R,399522,56.498177,9,399522,interleukin 6 receptor,,IL6R,9823.0
ILKAP,100518585,53.658104,9,100518585,ILK associated serine/threonine phosphatase,,ILKAP,9823.0
IMMP2L,100521052,55.927624,9,100521052,inner mitochondrial membrane peptidase subunit 2,,IMMP2L,9823.0
IMPDH1,100520873,58.428032,9,100520873,inosine monophosphate dehydrogenase 1,,IMPDH1,9823.0
IMPG1,100157094,56.14357,9,100157094,interphotoreceptor matrix proteoglycan 1,,IMPG1,9823.0
INAVA,102164093,59.165768,9,102164093,innate immunity activator,,INAVA,9823.0
INCENP,100516847,55.0588,9,100516847,inner centromere protein,,INCENP,9823.0
ING4,102161011,55.049824,9,102161011,inhibitor of growth family member 4,,ING4,9823.0
INIP,100513906,55.448616,9,100513906,INTS3 and NABP interacting protein,,INIP,9823.0
INKA2,100153198,55.725685,9,100153198,inka box actin regulator 2,,INKA2,9823.0
INO80E,100624556,56.27072,9,100624556,INO80 complex subunit E,,INO80E,9823.0
INPP5A,100512501,55.325844,9,100512501,inositol polyphosphate-5-phosphatase A,,INPP5A,9823.0
INPP5J,100510987,54.696762,9,100510987,inositol polyphosphate-5-phosphatase J,,INPP5J,9823.0
INPPL1,100462718,55.396885,9,100462718,inositol polyphosphate phosphatase like 1,,INPPL1,9823.0
INSR,396755,56.817097,9,396755,insulin receptor,,INSR,9823.0
INSYN1,100156505,56.719852,9,100156505,inhibitory synaptic factor 1,,INSYN1,9823.0
IPO13,100624339,57.3956,9,100624339,importin 13,,IPO13,9823.0
IQCA1,100515512,55.645832,9,100515512,IQ motif containing with AAA domain 1,,IQCA1,9823.0
IQCD,100525308,56.47869,9,100525308,IQ motif containing D,,IQCD,9823.0
IQCK,100622841,56.46392,9,100622841,IQ motif containing K,,IQCK,9823.0
IRAK2,106505672,56.353783,9,106505672,interleukin 1 receptor associated kinase 2,,IRAK2,9823.0
IRF8,396645,55.643135,9,396645,interferon regulatory factor 8,,IRF8,9823.0
IRF9,780415,56.74514,9,780415,interferon regulatory factor 9,,IRF9,9823.0
ISLR2,100157309,57.36069,9,100157309,immunoglobulin superfamily containing leucine rich repeat 2,,ISLR2,9823.0
ITGA7,110260578,56.555218,9,110260578,integrin subunit alpha 7,,ITGA7,9823.0
ITGAL,733681,58.24944,9,733681,integrin subunit alpha L,,ITGAL,9823.0
ITGB1BP1,100622267,55.448692,9,100622267,integrin subunit beta 1 binding protein 1,,ITGB1BP1,9823.0
ITM2C,100144481,58.403477,9,100144481,integral membrane protein 2C,,ITM2C,9823.0
ITPRIPL1,110259969,58.872047,9,110259969,ITPRIP like 1,,ITPRIPL1,9823.0
IZUMO1,100524565,56.470776,9,100524565,izumo sperm-egg fusion 1,,IZUMO1,9823.0
JAM3,100520043,56.14744,9,100520043,junctional adhesion molecule 3,,JAM3,9823.0
JMJD4,100512588,54.91228,9,100512588,jumonji domain containing 4,,JMJD4,9823.0
JMJD8,100511444,56.045967,9,100511444,jumonji domain containing 8,,JMJD8,9823.0
JPT2,474165,56.69748,9,474165,Jupiter microtubule associated homolog 2,,JPT2,9823.0
KANK3,100513584,56.429108,9,100513584,KN motif and ankyrin repeat domains 3,,KANK3,9823.0
KAT14,100152392,55.491226,9,100152392,lysine acetyltransferase 14,,KAT14,9823.0
KAT5,100511913,56.555218,9,100511913,lysine acetyltransferase 5,,KAT5,9823.0
KAT8,100522367,56.259758,9,100522367,lysine acetyltransferase 8,,KAT8,9823.0
KATNAL2,100627107,54.512962,9,100627107,katanin catalytic subunit A1 like 2,,KATNAL2,9823.0
KATNB1,100514649,54.165478,9,100514649,katanin regulatory subunit B1,,KATNB1,9823.0
KCNAB2,100514966,55.26308,9,100514966,potassium voltage-gated channel subfamily A regulatory beta subunit 2,,KCNAB2,9823.0
KCNB1,397433,55.792877,9,397433,potassium voltage-gated channel subfamily B member 1,,KCNB1,9823.0
KCNC3,100511263,57.897934,9,100511263,potassium voltage-gated channel subfamily C member 3,,KCNC3,9823.0
KCNJ16,100519442,54.28104,9,100519442,potassium inwardly rectifying channel subfamily J member 16,,KCNJ16,9823.0
KCTD12,100524761,57.031364,9,100524761,potassium channel tetramerization domain containing 12,,KCTD12,9823.0
KCTD13,100623749,59.407276,9,100623749,potassium channel tetramerization domain containing 13,,KCTD13,9823.0
KCTD17,100512279,56.618378,9,100512279,potassium channel tetramerization domain containing 17,,KCTD17,9823.0
KCTD2,100515164,56.133347,9,100515164,potassium channel tetramerization domain containing 2,,KCTD2,9823.0
KCTD5,100525690,55.98084,9,100525690,potassium channel tetramerization domain containing 5,,KCTD5,9823.0
KDM4C,100622077,57.16644,9,100622077,lysine demethylase 4C,,KDM4C,9823.0
KDM6A,100154376,55.32672,9,100154376,lysine demethylase 6A,,KDM6A,9823.0
KDM8,100519765,55.036083,9,100519765,lysine demethylase 8,,KDM8,9823.0
KHDRBS2,100153184,55.64299,9,100153184,"KH RNA binding domain containing, signal transduction associated 2",,KHDRBS2,9823.0
KHK,100523241,55.6373,9,100523241,ketohexokinase,,KHK,9823.0
KHSRP,100516780,54.671272,9,100516780,KH-type splicing regulatory protein,,KHSRP,9823.0
KIAA0556,102167376,56.20325,9,102167376,KIAA0556 ortholog,,KIAA0556,9823.0
KIAA1211L,100526102,57.09932,9,100526102,KIAA1211 like,,KIAA1211L,9823.0
KIAA2013,100525404,57.357994,9,100525404,KIAA2013 ortholog,,KIAA2013,9823.0
KIDINS220,100514284,56.051056,9,100514284,kinase D interacting substrate 220,,KIDINS220,9823.0
